Glenn Gould
Art Blakey
John Edgar Hoover
Edwin Moses
Harald Schmid
Papa Leone I
Andre Agassi
Papa Leone XIII
Papa Benedetto XV
Emmy Noether
Papa Pio XII
Ben Johnson
Papa Felice III
Davy Crockett
Nancy Kress
Stephen Chow
Papa Gelasio I
Christian Goldbach
Miles Davis
Erwin Schrödinger
Papa Anastasio II
Papa Simmaco
Papa Ormisda
Papa Giovanni I
Papa Bonifacio II
Glareano
Papa Giovanni II
Papa Agapito I
Shirakawa (imperatore del Giappone)
Janet Evans
Michael Gross (nuotatore)
James Graham Ballard
Charles Garnier
Fidia
Jacques Rogge
Czesław Miłosz
Giuseppe Benedetto Cottolengo
Eric Steven Raymond
Go-Shirakawa
Willem Marinus Dudok
Gian Maria Volontè
Michael Jordan
Jerry Goldsmith
Duke Ellington
Garri Kimovič Kasparov
Dizzy Gillespie
Enzo Ferrari
Jay Pritzker
Gunnar Asplund
Alfonso VIII di Castiglia
Gottfried Böhm
Katsuhiro Ōtomo
Wilhelm Kempff
Vittorio Giardino
Christian Norberg-Schulz
Ton Koopman
Henri Le Châtelier
Reinhard Goebel
Wolfgang Rübsam
Carl Philipp Emanuel Bach
Eddie Vedder
Mark Dacascos
Helmut Walcha
Jet Li
Sigfried Giedion
Richard Smalley
Milarepa
Giuseppe Rensi
Michael Phelps
Charles Bukowski
Giacomo Puccini
Nāgārjuna
Justine Henin
Errico Malatesta
Merlene Ottey
Gabriel Batistuta
Michail Jur'evič Lermontov
Michael Gross (attore)
Trevor Pinnock
Eddie Irvine
Horatio Nelson
Gebhard Leberecht von Blücher
Napoleone II di Francia
Luigi XIV di Francia
Enrico IV di Francia
Carlo Alberto di Savoia
Massimo d'Azeglio
Carlo Imbonati
Brunetto Latini
Lars von Trier
Gilbert Abbott à Beckett
Alessandra Sensini
Karl Guthe Jansky
Christian de Duve
Gunter d'Alquen
Fra Diavolo
Lorenzo Porzio
Charles Babbage
William Fielding Ogburn
Herbie Hancock
Papa Silverio
Charles Horton Cooley
Angélique Kidjo
Daniele di Russia
Steve Reich
Paul Elvstrøm
Alfonso La Marmora
George Orwell
Éamon de Valera
Linda Evangelista
Christy Turlington
Luigi Federico Menabrea
Christopher Reeve
Giacomo Zanella
Robert Ervin Howard
Thorstein Veblen
Shō Kosugi
Heinrich Himmler
Claire Denis
Ōjin
Mike Oldfield
Michelangelo Antonioni
Makoto Yukimura
Greg Louganis
Suiko
Tom Cruise
Mommu
Gemmei
Dimitri di Russia
Vinnie Colaiuta
Stewart Copeland
John Williams (chitarrista)
Alda Merini
Dino De Laurentiis
Gianni Amelio
Basilio I di Russia
Orson Welles
Giovanni Calvino
Giovanni Lanza
Ennio Morricone
Basilio II di Russia
Hayao Miyazaki
Aisha
Ivan III di Russia
Vladimir Vasil'evič Markovnikov
Shomu
Heizei
Papa Vigilio
Saga (imperatore del Giappone)
Junna
Nimmyo
Montoku
Wong Kar-wai
Basilio III di Russia
Stanley Tucci
Alejandro Amenábar
Papa Pelagio I
Papa Giovanni III
Papa Benedetto I
Robert Altman
Mira Nair
Vittorio Gassman
Gneo Pompeo Magno
Clint Eastwood
Giovan Battista Carpi
Boris Fëdorovič Godunov
Giovanni Prati
Lee Van Cleef
Michelle Trachtenberg
Papa Pelagio II
Marco Valerio Messalla Corvino
Akira Kurosawa
Corrado Guzzanti
Papa Sabiniano
Papa Bonifacio IV
Papa Adeodato I
Papa Bonifacio V
Papa Severino
Papa Giovanni IV
Billy Blanks
Gneo Pompeo Strabone
Carl Gustav Jung
Papa Teodoro I
Papa Martino I
Papa Eugenio I
Papa Vitaliano
Papa Adeodato II
Papa Dono
Carlo Verdone
Orhan Pamuk
Andrea II di Vladimir
Sting
Joseph Louis François Bertrand
Mike Leigh
Falso Dimitri I di Russia
Basilio IV di Russia
Ladislao IV di Polonia
Carlo Mazzacurati
Michele di Russia
James Herbert
Floyd Gottfredson
Alessio I di Russia
Agostino Gemelli
Joseph Nicéphore Niépce
Giuni Russo
Guglielmo di Ockham
John Conway
Jeff Wincott
Boris Vian
Gianni Rivera
Andy Summers
Hirohiko Araki
Ivan V di Russia
Roberto Busa
Larry Bird
Seiwa
Yozei
Enzo Baldoni
Magic Johnson
Luigi Vanvitelli
Claudio Abbado
Michelangelo Abbado
Carl Gotthard Langhans
Montezuma
Rumiko Takahashi
Joe Dumars
Julius Erving
Clyde Drexler
John Scopes
Joseph Stiglitz
John Stockton
James Naismith
Paul Klee
Oscar Robertson
Papa Agatone
Papa Benedetto II
Papa Giovanni V
Papa Conone
Papa Sergio I
Papa Giovanni VI
Papa Giovanni VII
Beniamino Gigli
Matt Groening
Fedele Lampertico
Brahmagupta
Papa Sisinnio
Papa Costantino
Papa Gregorio II
Rachel Corrie
Papa Gregorio III
Papa Zaccaria
Mario Monicelli
Michele Besso
Pieter van Musschenbroek
Albert Szent-Györgyi
Howard Phillips Lovecraft
Caterina I di Russia
Larry Niven
Pietro II di Russia
Luciano Bottaro
Marty Feldman
Gene Wilder
Ivan VI di Russia
Aleardo Aleardi
Amintore Fanfani
Papa Stefano III
Papa Stefano IV
Papa Adriano I
Stanley Donen
Elisabetta di Russia
David Sanborn
Pietro III di Russia
Mel Brooks
Luigi Negrelli
Silvia Montefoschi
Crizia
Russ Meyer
Agostino Depretis
Giuliano Amato
Lamberto Dini
Giovanni Goria
Bettino Craxi
Giovanni Spadolini
Dino Campana
Arnaldo Forlani
Mariano Rumor
Fernando Tambroni
Antonio Segni
Adone Zoli
Mario Scelba
Benedetto Cairoli
