Klaas Gerling,80224768,
Cameron Crowe,49419180,
Joe Zawinul,119338362,
Pandolfo II Malatesta,37819361,
Michael K. Williams,37174929,
Wilhelm Moritz Keferstein,49967584,
Wilbur Smith,14776833,IT\ICCU\CFIV\000685
Tana Umaga,21586403,
Pattie Boyd,11044352,
Michael Gottlieb Agnethler,47548084,
Judah Philip Benjamin,56694284,
Pierre-Gilles de Gennes,68972558,
Aidan Turner,146996241,
Urbano Navarrete,9840111,
John Bull (politico),75578859,
Freya Stark,9861162,
Leslie Graham,58608834,
Dorotea Maria di Anhalt,13043906,
Francesco Galli da Bibbiena,29601026,
Dennis Weaver,15908880,
Galeazzo Ciano,56702085,
Alan Wilder,87370667,
Ida Dalser,10958148,
Maria de Lourdes Pintasilgo,8702169,
Isabella d'Aragona (1302-1330),54955493,
Friedrich Alfred Krupp,19667347,
Travis Barker,49049875,
Paula Radcliffe,36445500,
Tat'jana Petrovna Nikolaeva,113529537,
Herbert Howells,59269800,
Papa Benedetto VIII,27865055,
Tricky,88077933,
Orde Charles Wingate,69735926,
Francesco Sozzi,96428695,
Chris Willis,46973699,
Gregory Mathews,34040708,
Mary Martin,95298009,
Francesco Giuseppe I d'Austria,32787948,
Enrico di Gand,37045656,
Alof de Wignacourt,2196354,
Serge Klarsfeld,2472561,
Francesco Barbaro (patriarca di Aquileia),47562601,IT\ICCU\TSAV\465622
Khaled Mesh'al,36729346,
Yehoshua Bar-Hillel,66503430,
Maurizio Calvesi (saggista),76312963,IT\ICCU\CFIV\004582
Helena Christensen,122094382,
Franco Restivo,167645647,IT\ICCU\PALV\008747
Enrico I di Sassonia,30328527,
Fritz Albert Lipmann,74648188,
Nuno Bettencourt,85874335,
Ludovico Antonio Muratori,68933348,
William Branch Giles,33532646,
Qiu Jin,25393608,
Cristiano Augusto di Anhalt-Zerbst,80322502,
Hossein Amini,49429016,
Polemio Silvio,35257540,
Clodoveo I,9855720,
Ercole Bernabei,61812429,
Brian Kernighan,108136058,
Marinus Anton Donk,47291128,
Agnolo Firenzuola,12380054,
Juste Adrien Lafage,56773857,
Sellapan Ramanathan,120591893,
Reparata di Cesarea di Palestina,83480511,
Joe Bouchard,87325560,
Damon Wayans,5131562,
Lyda Borelli,76157195,
James G. Watt,53003150,
Rod Evans,215019830,
Olivier Gourmet,14978257,
Macrina la Giovane,43504639,
Deborah J. Ross,30466254,
Luigi del Portogallo,121595990,
Magda Konopka,12516270,
Luis Marden,8948006,
Ciro Ferri,56884764,
Leodegario di Autun,261208724,
Marcel Jacob,90676860,
Anna Neagle,46316426,
Cornelius Ryan,100269328,
Mark Frechette,61165990,
Francesco Barozzi,69854003,IT\ICCU\BVEV\019219
Patroclo di Troyes,47557493,
Torrey DeVitto,5228903,
Bill Brock,84492056,
Louis-Isaac Lemaistre de Sacy,93363329,
Luigi di Borbone-Francia (1682-1712),28437842,
Eric Singer,77370299,
Leslie Howard,22278306,
Jan Matthys,81596975,
Arnold Vosloo,37128329,
Charles Demuth,29542716,
Eisai,24842932,
Jeanne de Salzmann,78775566,
Bengt Ekerot,14982665,
Anna Neville,35592992,
David Weinberger,17845919,
Denis Lambin,100217572,
Jack Smight,51890842,
Lorenzo Mattotti,96701627,
Christopher Hampton,111477940,
Georg Karl Berendt,32740495,
Aristotelis Valaoritis,90636884,
Billy Burke,39579853,
Tracy Hickman,61572913,
Douglas Haig,88873527,
Hans Buchner,15037191,
Khan Chittenden,103525000,
David M. Rosenthal,39128662,
Alessandro I di Jugoslavia,52482881,
Sidney J. Furie,86205509,
Jeffrey Hunter,7574236,
Margaret Anglin,54947203,
Cesare Sterbini,42106537,
Richard Hamilton (matematico),110792946,
Amalberga di Temse,170405342,
Giovanni Andrea Danducci,45100769,
Terry Allen,5122562,
Marcel Proust,32001793,
Anna Leopoldovna Romanova,62342202,
Dwyane Wade,26479097,
Boris Izaguirre,56671995,
Chen Ning Yang,70128868,
Ruth Warrick,16070690,
Raimondo D'Aronco,805459,
Matt Dillon,76504572,
Keith Jarrett,74037900,
Lorenzo de' Medici,54169908,
Pete Maravich,60326959,
Jay Triano,102828813,
Bernhard Zondek,64306207,
Maria Tudor,64855572,
Bob Birch,267789027,
Cesare Rossi,32798751,IT\ICCU\RAVV\071917
Mary Lynn Rajskub,166216621,
Julius Wellhausen,81950780,
William Caxton,68979076,
